"Шрифт";"Издательство";"Цена (USD)";"Бесплатный";"Начертаний";"Поддержка абхазского";"Недостающие символы";"Кол-во недостающих";"Ссылка"
"Delonie";"AlperCakici";"29";"Нет";"12";"Полная";"";"0";"https://www.myfonts.com/collections/delonie-font-alpercakici"
"Depicto";"Michael Rafailyk";"12";"Нет";"3";"Полная";"";"0";"https://www.myfonts.com/collections/depicto-font-michael-rafailyk"
"Destrod";"Tanya Savchenko";"11";"Нет";"1";"Частичная (−4)";"ӶӷԤԥ";"4";"https://www.myfonts.com/collections/destrod-font-tanya-savchenko"
"Diode Circuit";"Essqué Productions";"35";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/diode-circuit-font-essqu-productions"
"Diodrum Cyrillic";"Indian Type Foundry";"39";"Нет";"6";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/diodrum-cyrillic-font-indian-type-foundry"
"Diodrum Cyrillic Variable";"Indian Type Foundry";"80";"Нет";"1";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/diodrum-cyrillic-variable-font-indian-type-foundry"
"Dot Grid";"Essqué Productions";"35";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/dot-grid-font-essque-productions"
"Dottles";"AlperCakici";"29";"Нет";"20";"Полная";"";"0";"https://www.myfonts.com/collections/dottles-font-alpercakici"
"DR Krapka Rhombus";"Dmitry Rastvortsev";"29.99";"Нет";"19";"Полная";"";"0";"https://www.myfonts.com/collections/dr-krapka-rhombus-font-dmitry-rastvortsev"
"DR Krapka Round";"Dmitry Rastvortsev";"29.99";"Нет";"22";"Полная";"";"0";"https://www.myfonts.com/collections/dr-krapka-round-font-dmitry-rastvortsev"
"DR Krapka Square";"Dmitry Rastvortsev";"0";"Да";"36";"Полная";"";"0";"https://www.myfonts.com/collections/dr-krapka-square-font-dmitry-rastvortsev"
"DR Kruk Single";"Dmitry Rastvortsev";"49.99";"Нет";"1";"Частичная (−2)";"ӡӠ";"2";"https://www.myfonts.com/collections/dr-kruk-single-font-dmitry-rastvortsev"
"Drafted";"Essqué Productions";"35";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/drafted-font-essque-productions"
"Draina";"AlperCakici";"29";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/draina-font-alpercakici"
"Droid Sans";"Ascender";"92.99";"Нет";"2";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/droid-sans-pro-font-ascender-corp"
"Droid Sans Mono";"Ascender";"92.99";"Нет";"2";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/droid-sans-mono-pro-font-ascender-corp"
"Droid Serif";"Ascender";"92.99";"Нет";"4";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/droid-serif-pro-font-ascender-corp"
"Easytype";"Vitalik B. Old";"5";"Нет";"2";"Полная";"";"0";"https://www.myfonts.com/collections/easytype-font-vitalik-b-old"
"Economica Cyrillic PRO";"Underground";"29.9";"Нет";"4";"Частичная (−4)";"ӶԤӷԥ";"4";"https://www.myfonts.com/collections/economica-cyrillic-pro-font-underground"
"Edensor";"Factory738";"15";"Нет";"20";"Полная";"";"0";"https://www.myfonts.com/collections/edensor-font-factory738"
"Edit Serif Cyrillic";"Atlas Fonts";"89";"Нет";"12";"Полная";"";"0";"https://www.myfonts.com/collections/edit-serif-cyrillic-font-atlasfontfoundry"
"Entrofly";"Slava Antipov";"39";"Нет";"11";"Полная";"";"0";"https://www.myfonts.com/collections/entrofly-font-slava-antipov"
"Ertinas";"Din Studio";"39";"Нет";"9";"Полная";"";"0";"https://www.myfonts.com/collections/ertinas-font-din-studio"
"Everflow";"Andrejs Kirma";"28.99";"Нет";"14";"Полная";"";"0";"https://www.myfonts.com/collections/everflow-font-andrejs-kirma"
"Faktor";"MacCampus";"20";"Нет";"2";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/faktor-font-maccampus"
"FE 5 Cent";"Egor Stremousov";"50";"Нет";"1";"Частичная (−4)";"ԤӶӷԥ";"4";"https://www.myfonts.com/collections/fe-5-cent-font-egor-stremousov"
"Febrotesk 4F";"4th february";"25";"Нет";"0";"Частичная (−4)";"ӶӷԤԥ";"4";"https://www.myfonts.com/collections/febrotesk-4f-font-4th-february"
"Fello";"Australian Type Foundry";"23.99";"Нет";"3";"Полная";"";"0";"https://www.myfonts.com/collections/fello-font-australian-type-foundry"
"Fer";"ParaType";"36";"Нет";"19";"Полная";"";"0";"https://www.myfonts.com/collections/fer-font-paratype"
"Finico";"Factory738";"24";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/finico-font-factory738"
"Finico Sans";"Factory738";"24";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/finico-sans-font-factory738"
"Fonteys Pro";"Fando Fonts";"5";"Нет";"10";"Полная";"";"0";"https://www.myfonts.com/collections/fonteys-pro-font-fando-fonts"
"Forme Grotesque Arabic";"Forme Type";"48";"Нет";"7";"Полная";"";"0";"https://www.myfonts.com/collections/forme-grotesque-arabic-font-forme-type"
"Forme Grotesque Arabic Variable";"Forme Type";"350";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/forme-grotesque-arabic-variable-font-forme-type"
"Forme Grotesque Variable";"Forme Type";"350";"Нет";"2";"Полная";"";"0";"https://www.myfonts.com/collections/forme-grotesque-variable-font-forme-type"
"Framer Sans";"June 23";"35";"Нет";"7";"Полная";"";"0";"https://www.myfonts.com/collections/framer-sans-font-23-jun"
"Frink Rio";"Brenners Template";"19";"Нет";"19";"Полная";"";"0";"https://www.myfonts.com/collections/frink-rio-font-brenners-template"
"FTY Varoge Saro Noest";"The Fontry";"25";"Нет";"1";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/fty-varoge-saro-noest-font-the-fontry"
"Gingersans";"Sryga";"22";"Нет";"13";"Полная";"";"0";"https://www.myfonts.com/collections/gingersans-font-sryga"
"Girthy Display";"Silverdav";"18";"Нет";"1";"Частичная (−2)";"ҩҨ";"2";"https://www.myfonts.com/collections/girthy-display-font-silverdav"
"Good Rome";"Authentype";"18";"Нет";"9";"Полная";"";"0";"https://www.myfonts.com/collections/good-rome-font-authentype"
"Gothema";"Authentype";"19";"Нет";"9";"Полная";"";"0";"https://www.myfonts.com/collections/gothema-font-authentype"
"Grandview";"Microsoft Corporation";"49";"Нет";"6";"Полная";"";"0";"https://www.myfonts.com/collections/grandview-font-microsoft-corporation"
"Greenleaf";"Oddsorts";"0";"Да";"20";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/greenleaf-font-oddsorts"
"HD Anomie";"HyperDeluxe";"40";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/hd-anomie-font-hyperdeluxe"
"HD Colton";"HyperDeluxe";"35";"Нет";"91";"Полная";"";"0";"https://www.myfonts.com/collections/hd-colton-font-hyperdeluxe"
"Headpen";"AlperCakici";"29";"Нет";"20";"Полная";"";"0";"https://www.myfonts.com/collections/headpen-font-alpercakici"
"Helsa Display";"ParaType";"39";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/helsa-display-font-paratype"
"Hetik";"Pmfonts";"30";"Нет";"6";"Полная";"";"0";"https://www.myfonts.com/collections/hetik-font-pmfonts"
"HG Mincho";"RICOH";"199";"Нет";"7";"Частичная (−4)";"ԤԥӶӷ";"4";"https://www.myfonts.com/collections/hg-mincho-font-ricoh"
"INDG Windom";"Iñigo Uriarte";"10";"Нет";"1";"Частичная (−2)";"ҵҴ";"2";"https://www.myfonts.com/collections/indg-windom-font-inigo-uriarte"
"Jadeite";"TEKNIKE";"129";"Нет";"10";"Полная";"";"0";"https://www.myfonts.com/collections/jadeite-font-teknike"
"Jano Round";"Craceltype";"50";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/jano-round-font-craceltype"
"Jano Sans Pro";"Craceltype";"50";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/jano-sans-pro-font-craceltype"
"Jemgonza";"Pootis Type Corp.";"24.99";"Нет";"4";"Частичная (−4)";"ӶԤӷԥ";"4";"https://www.myfonts.com/collections/jemgonza-font-pootis-type-corp"
"Jetpack";"AlperCakici";"29";"Нет";"8";"Полная";"";"0";"https://www.myfonts.com/collections/jetpack-font-alpercakici"
"JM Handwritten";"Jiří Macík";"14.95";"Нет";"4";"Полная";"";"0";"https://www.myfonts.com/collections/jm-handwritten-font-jiri-macik"
"Joogert";"Oleg Gert";"25";"Нет";"1";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/joogert-font-oleg-gert"
"Juvenilia";"AlperCakici";"29";"Нет";"8";"Частичная (−2)";"ҩҨ";"2";"https://www.myfonts.com/collections/juvenilia-font-alpercakici"
"Kadigan";"Missy Meyer";"12";"Нет";"3";"Частичная (−2)";"Ҟҟ";"2";"https://www.myfonts.com/collections/kadigan-font-missy-meyer"
"Karsten";"Nasir Udin";"0";"Да";"24";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/karsten-font-nasir-udin"
"Kawa Sans";"Factory738";"20";"Нет";"20";"Полная";"";"0";"https://www.myfonts.com/collections/kawa-sans-font-factory738"
"Kelier";"Michael Rafailyk";"12";"Нет";"3";"Полная";"";"0";"https://www.myfonts.com/collections/kelier-font-michael-rafailyk"
"Kingfall";"Michael Rafailyk";"15";"Нет";"6";"Полная";"";"0";"https://www.myfonts.com/collections/kingfall-font-michael-rafailyk"
"Klapt Cyrillic";"SevenType";"29.99";"Нет";"4";"Частичная (−2)";"Ҩҩ";"2";"https://www.myfonts.com/collections/klapt-cyrillic-font-seventype"
"Kyber Ricon";"TypeClassHeroes";"9";"Нет";"36";"Полная";"";"0";"https://www.myfonts.com/collections/kyber-ricon-font-typeclassheroes"
"Laqonic 4F";"4th february";"24";"Нет";"0";"Частичная (−4)";"ԤԥӶӷ";"4";"https://www.myfonts.com/collections/laqonic-4f-font-4th-february"
"Leapfrog";"Shapovalov Fonts";"24";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/leapfrog-font-shapovalov-fonts"
"LeOsler";"Antipixel";"10";"Нет";"16";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/le-osler-font-antipixel"
"Liak";"TypeClassHeroes";"29";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/liak-font-typeclassheroes"
"Linotype Bariton Paneuropean";"Linotype";"92.99";"Нет";"1";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/bariton-paneuropean-font-linotype"
"Loew Next";"The Northern Block";"74.95";"Нет";"16";"Полная";"";"0";"https://www.myfonts.com/collections/loew-next-font-the-northern-block"
"LogPose";"Factory738";"25";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/logpose-font-factory738"
"Mael";"Factory738";"49";"Нет";"2";"Полная";"";"0";"https://www.myfonts.com/collections/mael-font-factory738"
"Makeads";"Sryga";"22";"Нет";"46";"Полная";"";"0";"https://www.myfonts.com/collections/makeads-font-sryga"
"Makking";"Sryga";"22";"Нет";"11";"Полная";"";"0";"https://www.myfonts.com/collections/makking-font-sryga"
"Marce";"AlperCakici";"29";"Нет";"20";"Полная";"";"0";"https://www.myfonts.com/collections/marce-font-alpercakici"
"Marco Cyrillic";"TypeTogether";"63";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/marco-cyrillic-font-type-together"
"Mato Sans";"Picador";"29";"Нет";"18";"Полная";"";"0";"https://www.myfonts.com/collections/mato-sans-font-maciej-wloczewski"
"Matryo";"Typogama";"29";"Нет";"15";"Полная";"";"0";"https://www.myfonts.com/collections/matryo-font-typogama"
"Maxine Sans";"ActiveSphere";"30";"Нет";"8";"Частичная (−4)";"ԤԥӶӷ";"4";"https://www.myfonts.com/collections/maxine-sans-font-activesphere"
"Mecatoque";"ActiveSphere";"30";"Нет";"2";"Частичная (−4)";"ԤӶӷԥ";"4";"https://www.myfonts.com/collections/mecatoque-font-activesphere"
"Meeneralca 4F";"4th february";"25";"Нет";"1";"Частичная (−4)";"ӶӷԥԤ";"4";"https://www.myfonts.com/collections/meeneralca-4f-font-4th-february"
"Meiryo";"Microsoft Corporation";"129";"Нет";"4";"Частичная (−4)";"ԤӶӷԥ";"4";"https://www.myfonts.com/collections/meiryo-font-microsoft-corporation"
"Meiryo UI";"Microsoft Corporation";"129";"Нет";"4";"Частичная (−4)";"ӶӷԤԥ";"4";"https://www.myfonts.com/collections/meiryo-ui-font-microsoft-corporation"
"Memesique";"Egor Stremousov";"50";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/memesique-font-egor-stremousov"
"Mesca";"S6 Foundry";"39";"Нет";"17";"Частичная (−3)";"ӡҩҨ";"3";"https://www.myfonts.com/collections/mesca-font-s6-foundry"
"MI_Museo Sans";"exljbris";"16.5";"Нет";"3";"Полная";"";"0";"https://www.myfonts.com/collections/mi-museo-sans-font-exljbris"
"Microsoft Sans Serif";"Microsoft Corporation";"39";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/microsoft-sans-serif-font-microsoft-corporation"
"Minion 3";"Adobe";"35";"Нет";"32";"Полная";"";"0";"https://www.myfonts.com/collections/minion-3-font-adobe"
"Minor";"Glen Jan";"25";"Нет";"12";"Полная";"";"0";"https://www.myfonts.com/collections/minor-font-glen-jan"
"MIR Next";"Juliasys";"9";"Нет";"20";"Частичная (−2)";"Ӷӷ";"2";"https://www.myfonts.com/collections/mir-next-font-juliasys"
"MIT Iculvist Monos";"Maculinc";"19";"Нет";"43";"Полная";"";"0";"https://www.myfonts.com/collections/mit-iculvist-monos-font-maculinc"
"MIT Quailav";"Maculinc";"19";"Нет";"21";"Полная";"";"0";"https://www.myfonts.com/collections/mit-quailav-font-maculinc"
"Mogivenst";"Meyerfonts";"19.99";"Нет";"4";"Полная";"";"0";"https://www.myfonts.com/collections/mogivenst-font-meyerfonts"
"Monateb";"AlperCakici";"29";"Нет";"44";"Полная";"";"0";"https://www.myfonts.com/collections/monateb-font-alpercakici"
"Mooncake";"RA Studio";"10";"Нет";"1";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/mooncake-font-ra"
"Morta";"Michael Rafailyk";"15";"Нет";"2";"Полная";"";"0";"https://www.myfonts.com/collections/morta-font-michael-rafailyk"
"Motor 4F";"4th february";"30";"Нет";"0";"Частичная (−4)";"ӷԥӶԤ";"4";"https://www.myfonts.com/collections/motor-4f-font-4th-february"
"Moucha";"Vibrant Types";"41";"Нет";"50";"Полная";"";"0";"https://www.myfonts.com/collections/moucha-font-calligrafiction"
"Moucha Modern";"Vibrant Types";"41";"Нет";"16";"Полная";"";"0";"https://www.myfonts.com/collections/moucha-modern-font-calligrafiction"
"Moucha Vintage";"Vibrant Types";"41";"Нет";"16";"Полная";"";"0";"https://www.myfonts.com/collections/moucha-vintage-font-calligrafiction"
"Moucha X";"Vibrant Types";"41";"Нет";"16";"Полная";"";"0";"https://www.myfonts.com/collections/moucha-x-font-calligrafiction"
"Moveo Sans";"Green Type";"46";"Нет";"80";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/moveo-sans-font-green-type"
"MrMarker";"ParaType";"36";"Нет";"1";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/mrmarker-font-paratype"
"MS Gothic";"Microsoft Corporation";"39";"Нет";"2";"Частичная (−4)";"ԤӷӶԥ";"4";"https://www.myfonts.com/collections/ms-gothic-font-microsoft-corporation"
"MS Gothic UI";"Microsoft Corporation";"39";"Нет";"1";"Частичная (−4)";"ӶӷԤԥ";"4";"https://www.myfonts.com/collections/ms-gothic-ui-font-microsoft-corporation"
"MS Mincho";"Microsoft";"39";"Нет";"2";"Частичная (−4)";"ԤӷӶԥ";"4";"https://www.myfonts.com/collections/ms-mincho-font-microsoft"
"MS-Mincho";"Microsoft Corporation";"39";"Нет";"1";"Частичная (−4)";"ԤӷӶԥ";"4";"https://www.myfonts.com/collections/ms-mincho-font-microsoft-corporation"
"MS-PMincho";"Microsoft Corporation";"39";"Нет";"1";"Частичная (−4)";"ӶԤԥӷ";"4";"https://www.myfonts.com/collections/ms-pmincho-font-microsoft-corporation"
"Museo Cyrillic";"exljbris";"0";"Да";"10";"Полная";"";"0";"https://www.myfonts.com/collections/museo-cyrillic-font-exljbris"
"Museo Sans Cyrillic";"exljbris";"0";"Да";"10";"Полная";"";"0";"https://www.myfonts.com/collections/museo-sans-cyrillic-font-exljbris"
"Nawin Cyr";"Letterjuice";"72";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/nawin-cyr-font-letterjuice"
"Nawin Cyr Ltn";"Letterjuice";"93";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/nawin-cyr-ltn-font-letterjuice"
"Nawin Paneuropean";"Letterjuice";"139";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/nawin-paneuropean-font-letterjuice"
"ND Bimbo";"NeueDeutsche";"9";"Нет";"9";"Полная";"";"0";"https://www.myfonts.com/collections/nd-bimbo-font-neuedeutsche"
"Nebulas";"Supremat";"14";"Нет";"6";"Полная";"";"0";"https://www.myfonts.com/collections/nebulas-font-supremat"
"Neo Paralletter";"Tural Alisoy";"34";"Нет";"1";"Частичная (−2)";"Ҩҩ";"2";"https://www.myfonts.com/collections/neo-paralletter-font-tural-alisoy"
"Neopol Print";"Pedroglifos";"18";"Нет";"12";"Полная";"";"0";"https://www.myfonts.com/collections/neopol-print-font-pedroglifos"
"Neopol Sans";"Pedroglifos";"18";"Нет";"12";"Полная";"";"0";"https://www.myfonts.com/collections/neopol-sans-font-pedroglifos"
"Neopol Script";"Pedroglifos";"18";"Нет";"6";"Полная";"";"0";"https://www.myfonts.com/collections/neopol-script-font-pedroglifos"
"Neopol Stencil";"Pedroglifos";"18";"Нет";"12";"Полная";"";"0";"https://www.myfonts.com/collections/neopol-stencil-font-pedroglifos"
"Neoverse Sans";"Sentavio";"12";"Нет";"31";"Полная";"";"0";"https://www.myfonts.com/collections/neoverse-sans-font-tadiar"
"Nero";"Skinny Type";"19";"Нет";"2";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/nero-font-skinny-type"
"Neubaufra";"Inhouse Type";"46";"Нет";"16";"Полная";"";"0";"https://www.myfonts.com/collections/neubaufra-font-inhouse-type"
"Neue Frutiger World";"Monotype";"155.99";"Нет";"20";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/neue-frutiger-world-font-monotype-imaging"
"Neue Helvetica World";"Linotype";"149";"Нет";"6";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/neue-helvetica-world-font-linotype"
"Neue Theorem";"DMA.Black";"21.99";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/neue-theorem-font-dmablack"
"Neusa Neu";"Inhouse Type";"41.47";"Нет";"72";"Полная";"";"0";"https://www.myfonts.com/collections/neusa-neu-font-inhouse-type"
"New Yorker Type Classic";"Wiescher Design";"45";"Нет";"7";"Полная";"";"0";"https://www.myfonts.com/collections/new-yorker-type-classic-font-wiescher-design"
"New Yorker Type Pro";"Wiescher Design";"45";"Нет";"7";"Полная";"";"0";"https://www.myfonts.com/collections/new-yorker-type-pro-font-wiescher-design"
"Newton";"ParaType";"36";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/newton-font-paratype"
"Nexa Pro";"Fontfabric";"45";"Нет";"40";"Частичная (−4)";"ӶԤԥӷ";"4";"https://www.myfonts.com/collections/nexa-pro-font-fontfabric"
"Niacin";"Sryga";"22";"Нет";"11";"Частичная (−2)";"ҩҨ";"2";"https://www.myfonts.com/collections/niacin-font-sryga"
"Nimbus Sans Global";"URW Type Foundry";"1949.99";"Нет";"6";"Частичная (−4)";"ԥӶӷԤ";"4";"https://www.myfonts.com/collections/nimbus-sans-global-font-urw"
"Nimbus Sans Japanese";"URW Type Foundry";"99.99";"Нет";"4";"Частичная (−4)";"ӶԥӷԤ";"4";"https://www.myfonts.com/collections/nimbus-sans-japanese-font-urw"
"Noeler";"Michael Rafailyk";"12";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/noeler-font-michael-rafailyk"
"Nolagert";"Oleg Gert";"30";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/nolagert-font-oleg-gert"
"Novel Sans Cyrillic";"Atlas Fonts";"89";"Нет";"70";"Полная";"";"0";"https://www.myfonts.com/collections/novel-sans-cyrillic-font-atlasfontfoundry"
"Novel Sans Cyrillic XXCondensed";"Atlas Fonts";"59.99";"Нет";"0";"Полная";"";"0";"https://www.myfonts.com/collections/novel-sans-cyrillic-xxcondensed-font-atlasfontfoundry"
"Novel Sans Cyrillic XXXCondensed";"Atlas Fonts";"59.99";"Нет";"0";"Полная";"";"0";"https://www.myfonts.com/collections/novel-sans-cyrillic-xxxcondensed-font-atlasfontfoundry"
"Novel Sans Rounded Cyrillic";"Atlas Fonts";"89";"Нет";"70";"Полная";"";"0";"https://www.myfonts.com/collections/novel-sans-rounded-cyrillic-font-atlasfontfoundry"
"Nsai Pro";"AukimVisuel";"42";"Нет";"289";"Полная";"";"0";"https://www.myfonts.com/collections/nsai-pro-font-aukimvisuel"
"Nsai Pro Rounded";"AukimVisuel";"42";"Нет";"288";"Полная";"";"0";"https://www.myfonts.com/collections/nsai-pro-rounded-font-aukimvisuel"
"Nuvica";"Din Studio";"34";"Нет";"9";"Полная";"";"0";"https://www.myfonts.com/collections/nuvica-font-din-studio"
"Oktah Neue";"Groteskly Yours";"40";"Нет";"23";"Полная";"";"0";"https://www.myfonts.com/collections/okta-neue-font-groteskly-yours"
"Oktah Round";"Groteskly Yours";"40";"Нет";"17";"Полная";"";"0";"https://www.myfonts.com/collections/oktah-round-font-groteskly-yours"
"Omorphia";"LetterMuzara";"20";"Нет";"2";"Полная";"";"0";"https://www.myfonts.com/collections/omorphia-font-letter-muzara"
"Ongunkan Rune All Letters";"Runic World Tamgacı";"300";"Нет";"1";"Частичная (−4)";"ӶӷԤԥ";"4";"https://www.myfonts.com/collections/ongunkan-rune-all-letters-font-runic-world-tamgac"
