"Шрифт";"Издательство";"Цена (USD)";"Бесплатный";"Начертаний";"Поддержка абхазского";"Недостающие символы";"Кол-во недостающих";"Ссылка"
"Scheme";"Typodermic";"69.95";"Нет";"8";"Полная";"";"0";"https://www.myfonts.com/collections/scheme-font-typodermic"
"Segoe UI";"Microsoft Corporation";"39";"Нет";"7";"Полная";"";"0";"https://www.myfonts.com/collections/segoe-ui-font-microsoft-corporation"
"Sharpix";"AlperCakici";"29";"Нет";"6";"Частичная (−2)";"Ҩҩ";"2";"https://www.myfonts.com/collections/sharpix-font-alpercakici"
"Sicret";"Mans Greback";"29";"Нет";"9";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/sicret-font-mans-greback"
"Sicret Mono";"Mans Greback";"29";"Нет";"9";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/sicret-mono-font-mans-greback"
"Sigma Boy";"Authentype";"31";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/sigma-boy-font-authentype"
"Small Baguette";"RA Studio";"12";"Нет";"1";"Частичная (−2)";"ԥԤ";"2";"https://www.myfonts.com/collections/small-baguette-font-ra"
"Soncara";"Authentype";"19";"Нет";"9";"Полная";"";"0";"https://www.myfonts.com/collections/soncara-font-authentype"
"sonovovitch";"10four";"24.95";"Нет";"1";"Частичная (−1)";"ҿ";"1";"https://www.myfonts.com/collections/sonovovitch-font-10fourdesigngroup"
"Spacho";"AlperCakici";"29";"Нет";"44";"Полная";"";"0";"https://www.myfonts.com/collections/spacho-font-alpercakici"
"Spilled Ink";"Michael Rafailyk";"12";"Нет";"5";"Полная";"";"0";"https://www.myfonts.com/collections/spilled-ink-font-michael-rafailyk"
"Stamm";"Tychographica";"79";"Нет";"1";"Полная";"";"0";"https://www.myfonts.com/collections/stamm-font-tychographica"
"Stenciliqo 4F";"4th february";"25";"Нет";"0";"Частичная (−4)";"ӶӷԤԥ";"4";"https://www.myfonts.com/collections/stenciliqo-4f-font-4th-february"
"Stendo";"Stypeface";"50";"Нет";"0";"Полная";"";"0";"https://www.myfonts.com/collections/stendo-font-stypeface"
"Stola";"Jujumisur's Ficus";"15";"Нет";"1";"Частичная (−2)";"Ԥԥ";"2";"https://www.myfonts.com/collections/stola-font-jujumisurs-ficus"
"Tahoma";"Microsoft Corporation";"49";"Нет";"4";"Полная";"";"0";"https://www.myfonts.com/collections/tahoma-font-microsoft-corporation"
"Taiama";"Tanya Savchenko";"13";"Нет";"1";"Частичная (−4)";"ӶԤԥӷ";"4";"https://www.myfonts.com/collections/taiama-font-tanya-savchenko"
